acid,SCN14,SCN14code,
PI458522,4,3.5,8
PI458523,5,5,8
PI458525,5,4.7,8
PI458529,5,5,8
PI458531,5,4.3,8
PI458541,5,4.6,8
PI458546,5,5,8
PI458824,5,4.2,8
PI458827,5,5,8
PI458828,5,5,8
PI458829,5,5,8
PI459072,5,5,8
PI461419,5,4.4,8
PI461508,4,2.8,8
PI461509,2,,8
PI462312,5,5,8
PI464865,5,4.6,8
PI464876,5,4.8,8
PI464877,5,4.5,8
PI464878,5,4.8,8
PI464879,5,4.5,8
PI464880,5,4.3,8
PI464881,5,4.5,8
PI464882,5,5,8
PI464883,5,4.7,8
PI464884,5,4.3,8
PI464886,5,4.4,8
PI464887,5,4.6,8
PI464893,5,4.7,8
PI464894,5,4.4,8
PI464895,4,3.5,8
PI464896,5,4,8
PI464897,5,4.3,8
PI464898,5,5,8
PI464899,4,3.4,8
PI464900,5,4.2,8
PI464901,5,4.8,8
PI464902,5,4.2,8
PI464904,5,4.8,8
PI464905,5,4.1,8
PI464909,4,3.2,8
PI464910,5,4.2,8
PI464911,5,4.5,8
PI464912,2,,8
PI464913,5,4,8
PI464916,5,4.8,8
PI464921,5,4.8,8
PI464922,5,4.7,8
PI464923,5,4.4,8
PI464924,5,4,8
PI464931,4,3,8
PI464932,5,4.800000191,8
PI464933,5,4,8
PI464940,5,4.4,8
PI464941,5,4.6,8
PI467307,5,4.9,8
PI467309,5,4.6,8
PI467310,2,,8
PI467312,1,,8
PI467313,5,4,8
PI467314,5,4.7,8
PI467315,4,3.4,8
PI467316,5,4.6,8
PI467317,4,3.8,8
PI467319,5,5,8
PI467320,5,5,8
PI467321,5,4.7,8
PI467324,5,4,8
PI467325,5,4.5,8
PI467326,5,5,8
PI467327,4,,8
PI467328,5,5,8
PI467329,5,4.7,8
PI467330,5,4.4,8
PI467331,5,4.8,8
PI467332,1,,8
PI467333,5,5,8
PI467336,5,5,8
PI467337,5,5,8
PI467338,4,3.8,8
PI467339,5,5,8
PI467340,5,4.3,8
PI467341,5,5,8
PI467342,5,4.8,8
PI467343,5,5,8
PI467344,5,5,8
PI467345,5,5,8
PI467346,5,5,8
PI467347,5,5,8
PI468130,5,4.699999809,8
PI468131,5,4,8
PI468376,5,5,8
PI468377,5,5,8
PI468378,5,5,8
PI468381,5,5,8
PI468382,5,5,8
PI468383,5,5,8
PI468385,5,4.7,8
PI468903,5,,8
PI468914,5,4.5,8
PI468915,5,,8
PI468921,5,5,8
PI468922,5,4,8
PI468923,5,4,8
PI468964,5,4.699999809,8
PI468965,5,5,8
PI468966,5,5,8
PI468967,5,4.400000095,8
PI468969,5,5,8
PI468970,5,5,8
PI468971,5,4.900000095,8
PI468972,5,5,8
PI468973,5,5,8
PI470221,5,4.7,8
PI470222,5,5,8
PI470223,5,5,8
PI470224,5,5,8
PI470225,5,4.5,8
PI470226,5,5,8
PI470929,5,5,8
PI470930,4,3.6,8
PI471899,5,5,8
PI471901,5,5,8
PI471903,5,4.800000191,8
PI471925,5,4.699999809,8
PI471926,5,4.800000191,8
PI471927,5,5,8
PI471928,5,5,8
PI471930,5,5,8
PI471931,5,4.900000095,8
PI471932,5,4.400000095,8
PI471933,5,4.300000191,8
PI471934,4,3.799999952,8
PI471935,5,4.300000191,8
PI471936,4,3.599999905,8
PI471938,5,4.5,8
PI471940,5,4.599999905,8
PI471941,5,4.900000095,8
PI471942,5,4.699999809,8
PI473572,5,5,8
PI473573,5,4.8,8
PI475784,5,5,8
PI475785,5,4.8,8
PI475810,4,,8
PI475814,5,4.8,8
PI475815,5,4.8,8
PI475816,5,5,8
PI475817,5,5,8
PI475818,5,5,8
PI475819,5,5,8
PI475820,5,4.6,8
PI475821,5,5,8
PI475823,5,5,8
PI475825,5,4.3,8
PI475826,5,4.6,8
PI475827,5,4.7,8
PI475828,5,5,8
PI475830,5,5,8
PI475831,5,4.7,8
PI476344,5,5,8
PI476345,5,4.8,8
PI476347,5,5,8
PI476348,5,4.5,8
PI476349,5,4.6,8
PI476351,5,4.8,8
PI476878,4,3.700000048,8
PI476879,5,5,8
PI476880,5,5,8
PI476881,5,5,8
PI476882,5,4.599999905,8
PI476883,5,4.800000191,8
PI476884,5,4.800000191,8
PI476885,5,4.5,8
PI476887,5,4.3,8
PI476888,5,4.699999809,8
PI476889,5,5,8
PI476890,5,5,8
PI476891,5,5,8
PI476892,4,3.799999952,8
PI476894,5,5,8
PI476895,5,4.400000095,8
PI476896,5,4,8
PI476897,5,5,8
PI476898,4,3.299999952,8
PI476899,5,5,8
PI476900,5,5,8
PI476901,5,4.300000191,8
PI476904,5,5,8
PI476907,5,5,8
PI476908,5,4.599999905,8
PI476910,5,4,8
PI476911,5,4.3,8
PI476912,5,4.300000191,8
PI476913,5,4.199999809,8
PI476914,5,4.8,8
PI476915,5,4.400000095,8
PI476916,5,4.800000191,8
PI476917,5,4,8
PI476918,5,5,8
PI476919,4,3.400000095,8
PI476920,5,4.599999905,8
PI476921,4,3.700000048,8
