acid,RUST,
PI416945,4.7,8
PI416951,4,8
PI416955,3,8
PI416980,3.3,8
PI416981,3.3,8
PI417000,3.3,8
PI417009,3.7,8
PI417012,3,8
PI417013,3.3,8
PI417042,2.3,8
PI417071,2.3,8
PI417088,2.8,8
PI417105,2.5,8
PI417110,3,8
PI417115,3.3,8
PI417116,3.5,8
PI417117,3.3,8
PI417120,2.7,8
PI417122,2.5,8
PI417125,3.3,8
PI417126,2.5,8
PI417128,3,8
PI417131,3,8
PI417132,4,8
PI417134,3.3,8
PI417162,3,8
PI417163,3,8
PI417166,5,8
PI417173,4.3,8
PI417174,4.7,8
PI417176,4.3,8
PI417190,2.7,8
PI417194,4,8
PI417195,4.3,8
PI417197,3,8
PI417208,3,8
PI417210,5,8
PI417211,3.5,8
PI417212,3,8
PI417219,5,8
PI417220,3.7,8
PI417224,3,8
PI417227,4.3,8
PI417228,3.3,8
PI417229,3,8
PI417235,2,8
PI417239,4.7,8
PI417246,4.3,8
PI417251,2.3,8
PI417255,4.3,8
PI417267,3.7,8
PI417268,4,8
PI417287,4.7,8
PI417289,3.7,8
PI417290,3,8
PI417305,4,8
PI417317,1.5,8
PI417322,3.5,8
PI417329,3.3,8
PI417332,4,8
PI417335,2.3,8
PI417337,4,8
PI417339,4,8
PI417341,3,8
PI417342,4,8
PI417346,3,8
PI417347,3.3,8
PI417352,4.3,8
PI417357,2,8
PI417358,3,8
PI417361,4,8
PI417363,2.7,8
PI417366,3,8
PI417368,4,8
PI417372,3.5,8
PI417379,3,8
PI417380,4.3,8
PI417384,3.3,8
PI417405,4,8
PI417408,3,8
PI417424,3.5,8
PI417433,4,8
PI417434,3.7,8
PI417445,2.7,8
PI417452,2,8
PI417461,4,8
PI417463,3.3,8
PI417464,3.7,8
PI417466,3.7,8
PI417467,2.7,8
PI417468,3.7,8
PI417470,3.7,8
PI417473,3,8
PI417477,3,8
PI417486,3.3,8
PI417491,3.7,8
PI417503,3,8
PI417517,4,8
PI417518,4.3,8
PI417522,4,8
PI417528,2.7,8
PI417535,3,8
PI417541,3,8
PI417556,3.7,8
PI417557,3.3,8
PI417560,3,8
PI417561,4,8
PI417566,3.7,8
PI417576,3.7,8
PI423706,3,8
PI423707,3.5,8
PI423717,2,8
PI423722,2.3,8
PI423749,4.7,8
PI423766,3,8
PI423768,3.7,8
PI423771,3,8
PI423779,4,8
PI423783,3,8
PI423787,4.3,8
PI423790,3,8
PI423791,3.7,8
PI423801,3,8
PI423803,3.3,8
PI423805,3.7,8
PI423806,3,8
PI423807,3.5,8
PI423817,3,8
PI423820,3.3,8
PI423821,2.7,8
PI423822,3.7,8
PI423823,2,8
PI423824,3.3,8
PI423828,3,8
PI423829,4,8
PI423831,3.3,8
PI423832,3.5,8
PI423840,3,8
PI423848,3.7,8
PI423849,4,8
PI423852,2.3,8
PI423877,4.3,8
PI423880,2.7,8
PI423899,4,8
PI423907,3,8
PI423923,4,8
PI423931,3,8
PI423951,3.5,8
PI423953,3.3,8
PI423954,3.7,8
PI423962,3.5,8
PI423964,3,8
PI423972,3.2,8
PI423975,3.3,8
PI423977,3.7,8
PI423981,3,8
PI423982,4,8
PI423984,3,8
PI423985,3.5,8
PI423986,3,8
PI424139,4,8
PI424158,4.7,8
PI424170,3.5,8
PI424175,3.7,8
PI424190,2.5,8
PI424201,3.7,8
PI424202,4,8
PI424204,4,8
PI424211,3.7,8
PI424226,5,8
PI424238,4,8
PI424239,4.5,8
PI424254,4.5,8
PI424260,4,8
PI424261,3.7,8
PI424263,2.5,8
PI424264,4.7,8
