acid,Fe2
PI398701,1
PI398707,1
PI398766,1
PI424266,1
PI423881,1
PI398640,1
PI417328,1
PI417192,1
PI417459,1
PI423890A,1
PI417233,1
PI417336,1
PI423927,1
PI398641,1
PI398654,1
PI416822,1
PI416846,1
PI417248,1
PI423883,1
PI423884,1
PI423899,1
PI398720,1
PI417305,1
PI398642,1
PI399072,1
PI417238,1
PI417432,1
PI423980,1
PI407705,1
PI290156,1
PI372411,1
PI378677A,1
PI391588,1
PI417226,1
PI417227,1
PI423944,1
PI361120,1
PI398275,1
PI398272,1
PI398276,1
PI407988B,1
PI398252,1
PI398268,1
PI417471,1
PI548303,1
PI548337,1
PI548547,1
PI548510,1
PI548511,1
PI548513,1
PI548580,1
PI548630,1
PI548518,1
PI548526,1
PI548556,1
PI548565,1
PI543856,1
PI398230,2
PI399018,2
PI423748B,2
PI398774,2
PI398775,2
PI423741,2
PI398930,2
PI406708,2
PI407892C,2
PI407727,2
PI407773A,2
PI407773B,2
PI407796,2
PI407897,2
PI408216B,2
PI427107B,2
PI408119,2
PI408181D,2
PI408225B,2
PI408230,2
PI424169A,2
PI424169B,2
PI424180,2
PI424523A,2
PI424523B,2
PI424537,2
PI424574,2
PI424596,2
PI420338,2
PI424159A,2
PI424520,2
PI424535A,2
PI424605A,2
PI427088J,2
PI273483B,2
PI274209,2
PI423787,2
PI291310C,2
PI297510,2
PI297533,2
PI370055,2
PI378672,2
PI398300,2
PI339983,2
PI340010,2
PI398762,2
PI398964,2
PI408215A,2
PI423737,2
PI424246,2
PI424270C,2
PI424285D,2
PI424299C,2
PI424313,2
PI424454,2
PI339868C,2
PI398397,2
PI398619,2
PI398750,2
PI398905,2
PI404173B,2
PI404195,2
PI407731,2
PI407734,2
PI407736,2
PI408216A,2
PI423756A,2
PI424370A,2
PI424380,2
PI424410,2
PI424424,2
PI424462B,2
PI423975,2
PI399019,2
PI398970,2
PI398204,2
PI417160,2
PI408334,2
PI398416,2
PI339984,2
PI398237,2
PI407702,2
PI291274B,2
PI290122,2
PI319534B,2
PI347548,2
PI347550B,2
PI347556,2
PI347568,2
PI347570,2
PI361061A,2
PI361077B,2
PI361084,2
PI361094,2
PI361119,2
PI372409,2
PI378659,2
PI378660B,2
PI424193,2
PI290124,2
PI297500,2
PI319535A,2
PI361071B,2
PI378680E,2
PI404192A,2
PI417572B,2
PI360965,2
PI417478,2
PI360963C,2
PI317332,2
PI361093,2
PI417139,2
PI417239,2
