acid,PRR25
PI424535B,5
PI424614,5
PI398748,5
PI407821A,5
PI417233,5
PI567523,5
PI567594A,5
PI398248,5
PI398282,5
PI567546,5
PI567559,5
PI567585B,5
PI567609,5
PI398747,5
PI408019C,5
PI408032B,5
PI408187,5
PI408036,5
PI398494,5
PI398311,5
PI424222A,5
PI423792,5
PI424276,5
PI398305,5
PI398868,5
PI424389,5
PI424396,5
PI424405C,5
PI398191,5
PI398198,5
PI398857,5
PI398953,5
PI399016,5
PI398572,5
PI398772,5
PI398710,5
PI398776,5
PI404182,5
PI405690,5
PI407861B,5
PI407892C,5
PI407996,5
PI407998A,5
PI408014,5
PI408067A,5
PI408074C,5
PI408095B,5
PI408134A,5
PI408221A,5
PI408316,5
PI408320,5
PI408329,5
PI408335A,5
PI408105A,5
PI340017,5
PI398854,5
PI407805A,5
PI407827,5
PI407907B,5
PI407973A,5
PI408110A,5
PI408200A,5
PI415074,5
PI427088G,5
PI427088I,5
PI408166B,5
PI424172A,5
PI424188A,5
PI424530,5
PI424555A,5
PI424160,5
PI424575,5
PI393541B,5
PI398667,5
PI398803,5
PI408281B,5
PI424179B,5
PI427088H,5
PI398204,5
PI398765,5
PI417186,5
PI416830,5
PI417400,5
PI417414B,5
PI398955,5
PI407926A,5
PI407914D,5
PI408333,5
PI567319A,5
PI567535B,5
PI567541C,5
PI567563B,5
PI567611,5
PI567602D,5
PI407788A,5
PI407939A,5
PI424190,5
PI404169A,5
PI361122,5
PI398975,5
PI407773A,5
PI404183,5
PI408201B,5
PI398706,5
PI416976,5
PI567464,5
PI567588B,5
PI567507B,5
PI416898,5
PI424294B,5
PI407720,5
PI407908,5
PI567654,5
PI567593A,5
PI567450,5
PI424400,5
PI407788B,5
PI408092B,5
PI424254,5
PI404185,5
PI567686,5
PI567717B,5
PI567438,5
PI424298,5
PI407658A,5
PI407727,5
PI416823,5
PI407952B,5
PI408231,5
PI424610,5
PI417244,5
PI567448,5
PI567528B,5
PI567666,5
PI391581A,5
PI424367,5
PI423948B,5
PI424344,5
PI417020,5
PI417417,5
PI567473D,5
PI423881,5
PI567477,5
PI567645A,5
PI423842,5
PI407862,5
PI407952A,5
PI408105B,5
PI408258,5
PI424458,5
PI424317,5
PI398982,5
PI399027,5
PI407907A,5
PI407820,5
PI407867B,5
PI407927B,5
PI408055B,5
PI408245,5
PI408310B,5
PI423799B,5
PI407897,5
PI407922,5
PI407949,5
PI408169D,5
PI408236,5
PI424078,5
PI427105B,5
PI427107A,5
PI407883,5
PI408020D,5
PI408055C,5
PI408170,5
PI408186B,5
