acid,bp488001,
PI339986,3,8
PI339988,2,8
PI339989,3,8
PI339992,3,8
PI339998,5,8
PI339999,5,8
PI340000,3,8
PI340001,5,8
PI340003,5,8
PI340004,4,8
PI340006,3,8
PI340008,3,8
PI340009,3,8
PI340013,3,8
PI340014,3,8
PI340016,2,8
PI340019,4,8
PI340021B,4,9
PI340022,3,8
PI340023,3,8
PI340024,4,8
PI340025,3,8
PI340026,3,8
PI340028,4,8
PI340029,3,8
PI340030,4,8
PI340031B,4,9
PI340032,4,8
PI340043,4,8
PI340044,4,8
PI340045,3,8
PI340050,4,8
PI340051,3,8
PI341252,2,8
PI341263,1,8
PI341264,4,8
PI342002,3,8
PI342003,3,8
PI346298,1,8
PI346300,1,8
PI346301,2,8
PI346302,1,8
PI346304,2,8
PI346305,2,8
PI346306,3,8
PI346307,3,8
PI346308,4,8
PI346309,4,8
PI355067S,3,9
PI355069S,3,9
PI355070S,3,9
PI360834,2,8
PI360839,2,8
PI360851,2,8
PI365426,2,8
PI368037,2,8
PI368038,2,8
PI368039,2,8
PI371607,2,8
PI371609,2,8
PI371610,3,8
PI371611,1,8
PI371612,2,8
PI374154,2,8
PI374155,2,8
PI374156,2,8
PI374157,2,8
PI374158,2,8
PI374159,2,8
PI374160,2,8
PI374161,2,8
PI374162,2,8
PI374163,2,8
PI374164,2,8
PI374165,2,8
PI374166,2,8
PI374167,2,8
PI374168,2,8
PI374169,2,8
PI374171,2,8
PI374172,2,8
PI374173,2,8
PI374174,2,8
PI374175,2,8
PI374176,2,8
PI374177,2,8
PI374178,2,8
PI374179,1,8
PI374180,1,8
PI374181,1,8
PI374182,2,8
PI374183,1,8
PI374184,2,8
PI374186,2,8
PI374219,2,8
PI374220,2,8
PI374221,2,8
PI376069,3,8
PI376070,3,8
PI376844,3,8
PI376845,1,8
PI377573,2,8
PI377575,2,8
PI377576,2,8
PI377577,2,8
PI377578,3,8
PI379618,3,8
PI379619,2,8
PI379620,2,8
PI379621,2,8
PI379622,2,8
PI379623,2,8
PI381656,3,8
PI381657,1,8
PI381659,3,8
PI381660,5,8
PI381661,1,8
PI381662,3,8
PI381663,3,8
PI381664,4,8
PI381665,4,8
PI381666,3,8
PI381667,3,8
PI381668,3,8
PI381669,4,8
PI381670,3,8
PI381671,3,8
PI381672,2,8
PI381673,4,8
PI381674,4,8
PI381675,3,8
PI381676,3,8
PI381677,3,8
PI381678,3,8
PI381679,3,8
PI381680,2,8
PI381681,1,8
PI381682,3,8
PI381683,3,8
PI381684,3,8
PI381685,3,8
PI385943,3,8
PI391597,1,8
PI393542,2,8
PI393543,1,8
PI393544,1,8
PI393545,2,8
PI393546,1,8
PI393547,1,8
PI393548,1,8
PI393549,1,8
PI393550,1,8
PI398183,3,8
PI398184,3,8
PI398186,2,8
PI398187,3,8
PI398189,2,8
PI398192,2,8
PI398193,4,8
PI398194,2,8
PI398195,2,8
PI398196,1,8
PI398203,3,8
PI398207,3,8
PI398209,1,8
PI398210,1,8
PI398212,3,8
PI398213,4,8
PI398216,2,8
PI398217,3,8
PI398218,3,8
PI398219,3,8
PI398220,2,8
PI398238,2,8
PI398239,1,8
PI398240,2,8
PI398241,1,8
PI398246,1,8
PI398253,2,8
PI398254,2,8
PI398255,2,8
PI398259,2,8
PI398262,4,8
PI398263,2,8
PI398264,2,8
PI398266,1,8
PI398269,2,8
PI398277,1,8
PI398279,1,8
PI398280,1,8
PI398284,4,8
PI398285,2,8
PI398286,3,8
PI398287,3,8
PI398288,3,8
PI398292,2,8
PI398301,1,8
PI398302,1,8
PI398304,1,8
PI398307,2,8
PI398308,2,8
PI398309,4,8
PI398316,3,8
PI398323,2,8
PI398324,2,8
PI398328,2,8
PI398330,3,8
PI398331,4,8
PI398332,3,8
PI398333,4,8
PI398335,5,8
PI398336,4,8
PI398337,2,8
PI398338,3,8
PI398339,4,8
PI398340,3,8
PI398341,3,8
PI398343,3,8
PI398344,4,8
PI398345,4,8
PI398346,3,8
PI398347,2,8
