acid,SCN3.491576,SCN3code.491576
PI506762B,5,5
PI506765,5,5
PI506770,5,5
PI506771,5,5
PI506782,5,5
PI506784,5,5
PI506787,5,5
PI506788,5,5
PI506790,5,5
PI506799,5,5
PI506800A,5,5
PI506800B,5,5
PI506801A,5,5
PI506809,5,5
PI506814,5,5
PI506815,5,5
PI506816,5,5
PI506818,5,5
PI506819,5,5
PI506821,5,5
PI506823,5,5
PI506825,5,5
PI506833,5,5
PI506839,5,5
PI506840A,5,5
PI506840B,5,5
PI506842,5,5
PI506843,5,5
PI506848,5,5
PI506852,5,5
PI506855,5,5
PI506857,5,5
PI506858,5,5
PI506860,5,5
PI506866,5,5
PI506867,5,5
PI506868,5,5
PI506870,5,5
PI506872,5,5
PI506873,5,5
PI506874,5,5
PI506876,5,5
PI506881,5,4.1
PI506887,5,4.8
PI506892,5,4.7
PI506897,5,4.9
PI506900,5,4.9
PI506901,5,4.6
PI506903,5,5
PI506906,5,4
PI506911,5,5
PI506912,5,5
PI506913,5,4.7
PI506916,5,4.8
PI506917,5,5
PI506918,5,4.9
PI506927,5,4.8
PI506928,5,4.2
PI506929,5,4.8
PI506930,5,4.8
PI506931,5,4.8
PI506932,5,4.5
PI506935,5,4.6
PI506937,5,4.5
PI506942,5,4.8
PI506945,5,5
PI506951,5,5
PI506954,5,5
PI506973,5,5
PI506982,5,5
PI506987,5,5
PI506989,5,5
PI506992,5,5
PI506993,5,5
PI506994,5,5
PI506995,5,5
PI506998,5,5
PI507015,5,4.9
PI507019,5,5
PI507022,5,5
PI507025,5,5
PI507026,5,4.8
PI507027,5,4.9
PI507028,5,5
PI507029,5,5
PI507047,5,4.8
PI507051,5,5
PI507053,5,5
PI507054,5,5
PI507060,5,5
PI507062A,5,5
PI507062B,5,5
PI507063,5,5
PI507065,5,5
PI507066,5,4.8
PI507067,5,4.9
PI507071A,5,5
PI507071B,5,5
PI507072,5,4.9
PI507073,5,5
PI507080,5,5
PI507082B,5,5
PI507082C,5,5
PI507089A,5,5
PI507089B,5,5
PI507090,5,5
PI507091,5,5
PI507093,5,5
PI507094,5,5
PI507095A,5,5
PI507097,5,5
PI507100,5,5
PI507104,5,5
PI507108,5,5
PI507123,5,5
PI507125,5,5
PI507130,5,5
PI507131,5,5
PI507132A,5,5
PI507132B,5,5
PI507133,5,5
PI507134,5,4.8
PI507141,5,5
PI507145,5,5
PI507147,5,5
PI507148,5,5
PI507149,5,5
PI507150,5,5
PI507151,5,5
PI507152,5,4.8
PI507153,5,5
PI507155,5,5
PI507158,5,5
PI507160,5,5
PI507162,5,5
PI507163,5,5
PI507164,5,4.9
PI507165,5,5
PI507167A,5,5
PI507167B,5,5
PI507168,5,5
PI507169,5,5
PI507171,5,5
PI507172,5,5
PI507173,5,5
PI507174,5,5
PI507175,5,5
PI507176,5,5
PI507178,5,5
PI507179,5,5
PI507180,5,5
PI507181,5,5
PI507182,5,5
PI507184A,5,5
PI507184B,5,5
PI507188,5,5
PI507189B,5,5
PI507190,5,5
PI507191,5,5
PI507196,5,5
PI507197A,5,5
PI507197B,5,5
PI507198,5,5
PI507199,5,5
PI507200,5,5
PI507204,5,5
PI507213,5,5
PI507222,5,5
PI507226A,5,5
PI507226B,5,5
PI507239,5,4.7
PI507241,5,4.8
PI507244,5,4.5
PI507245,5,5
PI507248,5,5
PI507253,5,5
PI507255,5,5
PI507265,5,5
PI507267,5,5
PI507271,5,5
PI507272,5,5
PI507277,5,5
PI507280,5,5
PI507281,5,5
PI507286A,5,5
PI507286B,5,5
PI507286C,5,5
PI507291,5,5
PI507293B,5,5
PI507294B,5,5
PI507296,5,5
PI507297,5,4.8
PI507303,5,5
PI507309,5,5
PI507312,5,4.7
PI507313,5,5
PI507316,5,5
PI507317,5,4.9
PI507320A,5,5
PI507320B,5,4.9
PI507323,5,5
PI507332,5,4.3
PI507339,5,5
PI507344,5,5
PI507347,5,4.7
PI507348,5,5
PI507349,5,4.8
PI507352,5,5
PI507353,5,5
PI507362,5,5
PI507363,5,5
PI507365,5,5
PI507366,5,5
PI507367,5,5
PI507369,5,5
PI507370,5,5
PI507379,5,5
PI507382,5,5
PI507383,5,5
PI507384,5,5
PI507385,5,4.8
PI507387,5,5
PI507390,5,5
PI507392,5,5
PI507395,5,4.8
PI507396,5,5
PI507398,5,5
PI507404,5,5
PI507405,5,5
PI507407,5,5
PI507408,5,5
PI507411,5,5
PI507412,5,5
PI507418,5,5
PI507419,5,5
PI507425,5,5
PI507429,5,5
PI507430,5,5
PI507431,5,4.6
PI507432,5,4.8
PI507434,5,4.9
PI507435,5,4.8
PI507436,5,5
PI507440,5,5
PI507441A,5,5
PI507441B,5,5
PI507442B,5,5
PI507445,5,4.8
PI507446,5,5
PI507447,5,4.8
PI507455,5,4.9
PI507456,5,4.7
PI507460,5,4.9
PI507464,5,4.8
PI507465,5,4.9
PI507466,5,5
PI507467,5,5
PI507468,5,4.7
PI507480,5,5
PI507481,5,5
PI507487,5,5
PI507494,5,5
PI507502,5,5
PI507515,5,5
PI507516,5,5
PI507517,5,5
PI507519,5,5
PI507520,5,5
PI507523,5,5
PI507526,5,5
PI507527,5,5
PI507528,5,5
PI507540,5,5
PI507548,5,4.9
PI507552,5,4.9
PI507553,5,4.7
PI507554,5,5
PI507555,5,5
PI507569,5,5
PI507570,5,5
PI507571,5,5
PI532473,5,5
PI538390,5,5
PI468384,5,5
PI518758,5,5
PI506737,5,5
PI506760,5,5
PI497965,5,5
PI506578,5,5
PI507142,5,5
PI506679,5,5
PI506828,5,5
PI497960,5,5
PI497961,5,5
PI507709,5,4.7
PI497962,5,5
PI506488,5,4.7
PI506491,5,4.7
PI506604,5,5
PI506677,5,4.5
PI506947,5,5
PI507002,5,5
PI507479,5,5
PI506812,5,5
PI506969,5,5
PI507193,5,5
PI506484,5,4.8
PI499955,5,5
PI506695,5,5
PI458532B,5,4.3
PI507672,5,5
PI507689,5,5
PI506965,5,5
PI468377,5,5
PI476350B,5,5
PI476350C,5,4.4
PI506628,5,5
PI507038,5,5
PI518291C,5,4.9
PI507113,5,5
PI506493,5,5
PI506988,5,5
PI507259,5,5
PI518759,5,5
PI506589,5,5
PI506717,5,5
PI507009,5,5
PI507414,5,4
PI507518,5,5
PI507305,5,5
PI458529,5,4.7
PI506553,5,5
PI507688,5,5
PI506939,5,4.5
PI507298,5,5
PI507546,5,5
PI507547,5,5
PI507472,5,4.8
PI509080,5,5
PI464897,5,5
PI479726,5,4.8
PI507693,5,5
PI479712,5,5
PI507717,5,5
PI479736,5,4.8
PI507678,5,5
PI497957,5,5
PI497967,5,4.6
PI511867,5,5
PI504483A,5,5
PI504499,5,5
PI507703,5,5
PI507715A,5,5
PI512324,5,5
PI518830,5,5
PI506483,5,4.4
PI506489,5,4.7
PI506508,5,5
PI506513,5,4.8
PI506530,5,5
PI506537,5,5
PI506548,5,5
PI506557,5,4.8
PI506559,5,4.9
PI506570,5,5
PI506600,5,5
PI506649,5,5
PI506676,5,5
PI506688,5,5
PI506880,5,5
PI506923,5,4.9
PI506938,5,5
PI506962,5,5
PI506996,5,5
PI507000,5,5
PI507005,5,5
PI507040,5,5
PI507041,5,5
PI507079,5,4.8
PI507114,5,5
PI507263,5,5
PI507275,5,5
PI507421,5,5
PI507536,5,4.8
PI507566,5,5
PI506824,5,5
PI506925,5,4.7
PI506793,5,5
PI506564,5,5
PI507254,5,5
PI507337,5,4.8
PI518729,5,4.9
PI504502,5,5
PI467328,5,4.1
PI507683,5,5
PI518754,5,5
PI506609,5,5
PI508294,5,4.8
PI509086,5,5
PI509102,5,5
PI518286,5,5
PI507705,5,5
PI475821,5,5
PI476351,5,5
PI507685A,5,5
PI518285,5,5
PI518291A,5,4.9
PI532436B,5,4.8
PI532454,5,4.7
PI506605,5,5
PI506638,5,5
PI506689,5,5
PI506696,5,5
PI507024,5,4.8
PI507075,5,5
PI507249,5,4.9
PI507232,5,5
PI507565,5,5
PI507567,5,5
PI538391,5,4.8
PI506990,5,5
PI532471,5,5
PI506675,5,5
PI468376,5,4.2
PI506924,5,4.7
PI507013,5,5
PI507069,5,5
PI507098,5,5
PI507247,5,5
PI507276,5,5
PI507371,5,4.7
PI506514,5,4.6
PI507522,5,5
PI518829,5,4.5
PI504494,5,5
PI479718A,5,5
PI518722,5,4.7
PI507714,5,5
PI532445,5,4.6
PI506747,5,5
PI538409,5,5
PI507498,5,4
PI464883,5,5
PI532469,5,5
PI504484,5,5
PI500648,5,5
PI518297,5,5
PI518726,5,5
PI494526,5,5
PI512322C,5,5
PI532446,5,4.3
PI538392,5,5
PI506518,5,5
PI506532,5,5
PI506577,5,5
PI506594,5,5
PI506748,5,5
PI506802,5,5
PI506807,5,5
PI506902,5,5
PI507003,5,5
PI507007,5,5
PI507266,5,5
PI507478,5,4.8
PI507506,5,5
PI538404,5,4.8
PI507698,5,5
PI506664,5,4.5
PI507691,5,5
PI540740,5,4.4
PI518753,5,5
PI506569,5,5
PI506764,5,5
PI470930,5,4.6
PI507690,5,5
PI506844,5,5
PI458525,5,4.3
PI458825A,5,4.5
PI458826A,5,4.6
PI458541,5,4.7
PI468383,5,5
PI458826B,5,4.7
PI458825B,5,4.9
PI458523,5,5
PI458531,5,5
PI458532A,5,5
PI458824,5,4.8
PI458827,5,4.7
PI468382,5,4.8
PI464910,5,5
PI507451,5,4.3
PI506751,5,5
PI467311B,5,4.4
PI467308B,5,4.6
PI497952,5,5
