acid,SCN5code,
PI087617,4,8
PI087618,4,8
PI087619,4,8
PI087619-1,4,10
PI087620,4,8
PI087620-1,4,10
PI087622,4,8
PI087623,4,8
PI087628,4,8
PI087629,4,8
PI087630,4,8
PI087631,4,8
PI087631-1,4,10
PI087631-3,4,10
PI087632,4,8
PI087634,4,8
PI087968,4,8
PI088282,4,8
PI088287,4,8
PI088288,4,8
PI088289,4,8
PI088290,4,8
PI088291,4,8
PI088292,4,8
PI088293,4,8
PI088293A,4,9
PI088294,4,8
PI088294-1,4,10
PI088295,4,8
PI088295-1,4,10
PI088296,4,8
PI088297,4,8
PI088298,4,8
PI088300,4,8
PI088301,4,8
PI088302-1,4,10
PI088302-2,4,10
PI088303,4,8
PI088303-1,4,10
PI088304,4,8
PI088305,4,8
PI088306,4,8
PI088306-1,4,10
PI088307,4,8
PI088308,3,8
PI088309,4,8
PI088310,3,8
PI088311,4,8
PI088312,4,8
PI088313,4,8
PI088349,4,8
PI088350,4,8
PI088351,4,8
PI088352,4,8
PI088353,3,8
PI088354,4,8
PI088355,3,8
PI088356,4,8
PI088357,4,8
PI088358,4,8
PI088359,4,8
PI088442,3,8
PI088443,4,8
PI088444,4,8
PI088445,3,8
PI088447,4,8
PI088447-3,4,10
PI088448,4,8
PI088452,4,8
PI088455,4,8
PI088458,4,8
PI088459,4,8
PI088461,3,8
PI088466,4,8
PI088466-1,3,10
PI088468,4,8
PI088479,3,8
PI088484,4,8
PI088486,4,8
PI088490,3,8
PI088490-1,4,10
PI088490-2,4,10
PI088491,3,8
PI088492,3,8
PI088495,3,8
PI088497,4,8
PI088499,3,8
PI088502,3,8
PI088508,3,8
PI088777,4,8
PI088780,4,8
PI088782,4,8
PI088783,4,8
PI088787,3,8
PI088789,4,8
PI088790,4,8
PI088793,4,8
PI088797,4,8
PI088798,4,8
PI088799,4,8
PI088803,4,8
PI088803-1,4,10
PI088804,4,8
PI088805-2,4,10
PI088805-4,4,10
PI088806,4,8
PI088809,4,8
PI088810,4,8
PI088811,4,8
PI088813,4,8
PI088814,4,8
PI088815,4,8
PI088816,4,8
PI088816S,4,9
PI088818,4,8
PI088820,4,8
PI088820N,4,9
PI088823,4,8
PI088825,4,8
PI088826,4,8
PI088886,4,8
PI088965,4,8
PI088997,4,8
PI088998-1,4,10
PI088998-2,4,10
PI089000,4,8
PI089001,4,8
PI089002,4,8
PI089002-2,4,10
PI089003-1,4,10
PI089003-2,4,10
PI089004,4,8
PI089005-4,4,10
PI089005-5,4,10
PI089006,4,8
PI089006-2,4,10
PI089007,4,8
PI089008,4,8
PI089009,4,8
PI089009-2,4,10
PI089010,4,8
PI089012,4,8
PI089012-1,4,10
PI089013,4,8
PI089014,4,8
PI089053,4,8
PI089055,4,8
PI089055-1,4,10
PI089056-2,4,10
PI089056-3,4,10
PI089057,4,8
PI089058,4,8
PI089059,4,8
PI089060,4,8
PI089061,4,8
PI089061-1,4,10
PI089061-2,4,10
PI089061-3,4,10
PI089061N,4,9
PI089063,4,8
PI089064,4,8
PI089065,4,8
PI089065-2,4,10
PI089066,4,8
PI089067,4,8
PI089070,4,8
PI089072,4,8
PI089073,4,8
PI089074,4,8
PI089075,4,8
PI089117,4,8
PI089128,4,8
PI089130,4,8
PI089133,4,8
PI089134,4,8
PI089138,4,8
PI089143,4,8
PI089146,4,8
PI089150,4,8
PI089152,4,8
PI089153,4,8
PI089154,4,8
PI089154-1,4,10
PI089154-2,4,10
PI089154S,4,9
PI089156,4,8
PI089162,3,8
PI089167,4,8
PI089168,4,8
PI089170,4,8
PI089171,4,8
PI089469,4,8
PI089471,4,8
PI089769,4,8
PI089772,0.5,8
PI089773,4,8
PI089775,4,8
PI089783,3,8
PI089784,4,8
PI090138,4,8
PI090180,4,8
PI090208,4,8
PI090220,4,8
PI090221,4,8
PI090233,4,8
PI090241,4,8
PI090243,4,8
PI090245,4,8
PI090249,4,8
PI090251,4,8
PI090256,4,8
PI090258,4,8
PI090305,3,8
PI090354,4,8
PI090369,4,8
PI090392,4,8
PI090401,4,8
PI090402,4,8
PI090406,3,8
PI090406-1,4,10
PI090407,4,8
PI090463,4,8
PI090479-1,4,10
PI090479P,4,9
PI090481,4,8
PI090486,4,8
PI090490,4,8
PI090490-2,4,10
PI090495,3,8
PI090495N,4,9
PI090499,4,8
PI090499-1,4,10
PI090499-2,4,10
PI090560,4,8
PI090563,4,8
PI090566,4,8
PI090566-1,4,10
PI090567,4,8
PI090567-1,4,10
PI090570,4,8
PI090573,4,8
PI090574,4,8
PI090575,4,8
PI090576-1,4,10
PI090576-2,4,10
PI090577,4,8
PI090578,4,8
PI090579,4,8
PI090723,4,8
PI090760,4,8
PI091073,4,8
PI091082,4,8
PI091083,4,8
PI091089,4,8
PI091091,4,8
PI091100,4,8
PI091100-1,4,10
PI091100-2,4,10
PI091100-3,4,10
PI091100-4,4,10
PI091102,4,8
PI091103,4,8
PI091104,4,8
PI091107,4,8
PI091108-1,4,10
PI091108-2,4,10
PI091108N,4,9
PI091109,4,8
PI091110,4,8
PI091110-1,4,10
PI091113,4,8
PI091114,4,8
PI091115,4,8
PI091116,4,8
PI091117,4,8
PI091119,4,8
PI091120,4,8
PI091120-2,4,10
PI091120-3,4,10
PI091121-1,4,10
PI091121-2,4,10
PI091123,4,8
PI091124,4,8
PI091126,4,8
PI091127,4,8
PI091129,4,8
PI091132-2,4,10
PI091132-3,4,10
PI091133,4,8
PI091138,4,8
PI091141,4,8
PI091142,4,8
PI091144,4,8
PI091149,4,8
PI091150,4,8
PI091151,3,8
PI091152,4,8
PI091153,4,8
PI091153-1,4,10
PI091153-7,4,10
PI091154,4,8
PI091156,4,8
PI091159,4,8
PI091159-4,4,10
PI091159S,4,9
PI091160,4,8
PI091161,4,8
PI091162,4,8
PI091163,4,8
PI091164,4,8
PI091165,4,8
PI091166,4,8
PI091167,4,8
PI091169,4,8
PI091171,4,8
PI091174,4,8
PI091178,4,8
PI091178-1,4,10
PI091180,4,8
PI091340,4,8
PI091341,4,8
PI091343,3,8
PI091346,4,8
PI091349,4,8
PI091557,4,8
PI091559,4,8
PI091646,4,8
PI091679,4,8
PI091684,4,8
PI091702,4,8
PI091719,4,8
PI091725,3,8
PI091725-2,4,10
PI091725-3,4,10
PI091725-4,4,10
PI091729,4,8
PI091730,4,8
PI091730-1,4,10
PI091731,4,8
PI091731-1,4,10
PI091732-1,4,10
PI091732-2,4,10
PI091733,4,8
PI091733-1,4,10
PI091734,4,8
PI091750,4,8
PI092109,4,8
PI092460,4,8
PI092463,4,8
PI092464,4,8
PI092465,4,8
PI092466,4,8
PI092468,4,8
PI092469,4,8
PI092470,4,8
PI092557,4,8
PI092560,4,8
PI092561,4,8
PI092563,4,8
PI092565,4,8
PI092568,4,8
PI092569,4,8
PI092570,4,8
PI092571,4,8
PI092572,4,8
PI092573,4,8
PI092576,4,8
PI092577,3,8
PI092580,4,8
PI092582,4,8
PI092583,4,8
PI092589,4,8
PI092590,4,8
PI092592,4,8
PI092593,4,8
PI092594,3,8
PI092595,0,8
PI092596,3,8
PI092598,4,8
PI092600,4,8
PI092601,4,8
PI092601-1,4,10
PI092601-2,4,10
PI092601-5,4,10
PI092602,4,8
PI092603,4,8
PI092604,4,8
PI092605,4,8
PI092606,4,8
PI092607,4,8
PI092608,4,8
PI092611,4,8
PI092617,4,8
PI092618,4,8
PI092619,4,8
PI092623,4,8
PI092625,4,8
PI092627,4,8
PI092629,4,8
PI092630,4,8
PI092633,4,8
PI092636,4,8
PI092639,4,8
PI092640,4,8
PI092641,4,8
PI092641B,4,9
PI092642,4,8
PI092643,4,8
PI092645,4,8
PI092649,4,8
PI092651,4,8
PI092654,4,8
PI092659,4,8
PI092660,4,8
PI092661,4,8
PI092662,4,8
PI092663,4,8
PI092671,4,8
PI092672,4,8
PI092677,4,8
PI092681,4,8
PI092683,3,8
PI092684,4,8
PI092686,3,8
PI092687,4,8
PI092688,4,8
PI092688-2,4,10
PI092689,3,8
PI092690,4,8
PI092691,3,8
PI092694,4,8
PI092696,4,8
PI092698,3,8
PI092702,4,8
PI092704,4,8
PI092705,4,8
PI092706,4,8
PI092707,4,8
PI092707-2,4,10
PI092707S,4,9
PI092713,4,8
PI092717,3,8
PI092718,4,8
PI092718-2,4,10
PI092719,4,8
PI092720,4,8
PI092722,4,8
PI092728,4,8
PI092733,3,8
PI092734,4,8
PI092743,4,8
PI092748,4,8
PI093055,4,8
PI093055S,4,9
PI093217,3,8
PI093559,4,8
PI093560,4,8
PI093563,3,8
PI093565,4,8
PI093565A,4,9
PI094159,3,8
PI094159-3,3,10
PI094159B,4,9
PI095740,4,8
PI095769,4,8
PI095780,4,8
PI095801,4,8
PI095853,4,8
PI095860,4,8
PI095887,4,8
PI095959,4,8
PI095960,4,8
PI096089,4,8
PI096093,4,8
PI096118,4,8
PI096152,4,8
PI096162,4,8
PI096169,4,8
PI096169B,4,9
PI096171,4,8
PI096188,3,8
PI096193,4,8
PI096194-3,4,10
PI096194P,4,9
PI096195,4,8
PI096199,4,8
PI096201,4,8
PI096257,3,8
PI096280,4,8
PI096321,4,8
PI096322,4,8
PI096333,4,8
PI096354,3,8
PI096549,1,8
PI096550,4,8
PI096783,4,8
PI096786,4,8
PI096786-1,4,10
PI096787,4,8
PI096808,4,8
PI096927,3,8
PI096978,4,8
PI096983,4,8
PI096984,4,8
PI097038,4,8
PI097066,4,8
PI097081,3,8
PI097100,4,8
PI097139,4,8
PI097155,4,8
PI097220,4,8
PI097222,4,8
PI097225,4,8
PI097235,4,8
PI097605,4,8
PI097627,3,8
PI098243,4,8
PI103079,4,8
PI103080,3,8
PI103088,3.5,8
PI103091,4,8
PI103414,3,8
PI103415,3,8
PI104708,3,8
PI105579,4,8
PI123439,4,8
PI123440,4,8
PI123578,4,8
PI123587,4,8
PI123590,4,8
PI124871,3,8
PI131531,3,8
PI132201,3,8
PI132203,3,8
PI132204,3,8
PI132205,3,8
PI132206,3,8
PI132207,3,8
PI132214,4,8
PI132215,3,8
PI132217,4,8
PI133226,4,8
PI135589,4,8
PI135590,3,8
PI142491,4,8
PI145079,4,8
PI148259,4,8
PI148260,3,8
PI151249,4,8
PI152361,4,8
PI152573,4,8
PI153203,4,8
PI153208,4,8
PI153209,3,8
PI153210,4,8
PI153211,4,8
PI153212,3,8
PI153213,4,8
PI153214,4,8
PI153215,3,8
PI153216,4,8
PI153217,3,8
PI153218,4,8
PI153219,3,8
PI153221,3,8
PI153222,3,8
PI153223,4,8
PI153225,4,8
PI153226,3,8
PI153227,3,8
PI153229,0.5,8
PI153230,4,8
PI153231,3,8
PI153233,4,8
PI153234,4,8
PI153235,3,8
PI153236,3,8
PI153237,4,8
PI153238,4,8
PI153239,4,8
PI153240,4,8
PI153241,4,8
PI153242,4,8
PI153243,4,8
PI153244,4,8
PI153245,4,8
PI153246,4,8
PI153247,4,8
PI153249,4,8
PI153250,4,8
PI153251,4,8
PI153252,4,8
PI153253,4,8
PI153255,4,8
PI153259,4,8
PI153261,4,8
PI153262,4,8
PI153263,4,8
PI153264,3,8
PI153265,3,8
PI153266,4,8
PI153267,4,8
PI153270,4,8
PI153271,4,8
