acid,Fe026,
PI476904,4,8
PI476907,3,8
PI476916,2,8
PI476918,0,8
PI476923,5,8
PI476925,4,8
PI476926,3,8
PI476927,5,8
PI476928,4,8
PI476930,4,8
PI476934,5,8
PI481679,2,8
PI481686,0,8
PI481690,3,8
PI486335,5,8
PI494181,4,8
PI494851,4,8
PI497962,4,8
PI497966,5,8
PI497967,5,8
PI499955,3,8
PI504507,2,8
PI506471,4,8
PI506473,3,8
PI506475,3,8
PI506483,4,8
PI506484,2,8
PI506486,5,8
PI506490,4,8
PI506493,4,8
PI506494,5,8
PI506495,3,8
PI506496,2,8
PI506497,5,8
PI506499,5,8
PI506500,2,8
PI506501,4,8
PI506502,5,8
PI506503,1,8
PI506504,5,8
PI506505,5,8
PI506509,5,8
PI506510,5,8
PI506512,2,8
PI506513,0,8
PI506514,5,8
PI506530,5,8
PI506531,4,8
PI506532,2,8
PI506533,5,8
PI506534,2,8
PI506536,3,8
PI506537,2,8
PI506538,1,8
PI506539,2,8
PI506540,4,8
PI506542,2,8
PI506543,2,8
PI506544,2,8
PI506545,2,8
PI506546,2,8
PI506547,5,8
PI506548,3,8
PI506551,5,8
PI506554,5,8
PI506555,5,8
PI506556,2,8
PI506557,5,8
PI506559,4,8
PI506561,2,8
PI506564,4,8
PI506566,5,8
PI506567,5,8
PI506568,5,8
PI506569,4,8
PI506570,2,8
PI506571,4,8
PI506577,4,8
PI506578,4,8
PI506580,4,8
PI506584,5,8
PI506589,2,8
PI506593,4,8
PI506599,2,8
PI506603,4,8
PI506604,4,8
PI506606,4,8
PI506608,4,8
PI506611,4,8
PI506612,2,8
PI506613,2,8
PI506614,0,8
PI506615,4,8
PI506616,2,8
PI506617,5,8
PI506618,1,8
PI506619,4,8
PI506620,5,8
PI506621,2,8
PI506622,4,8
PI506624,2,8
PI506625,1,8
PI506626,2,8
PI506627,2,8
PI506628,4,8
PI506629,4,8
PI506636,4,8
PI506638,5,8
PI506640,2,8
PI506643,4,8
PI506644,4,8
PI506646,5,8
PI506648,5,8
PI506649,4,8
PI506650,4,8
PI506653,4,8
PI506656,5,8
PI506664,4,8
PI506667,4,8
PI506670,2,8
PI506675,4,8
PI506676,3,8
PI506682,5,8
PI506687,2,8
PI506688,5,8
PI506689,4,8
PI506690,2,8
PI506691,4,8
PI506695,4,8
PI506702,4,8
PI506704,4,8
PI506706,2,8
PI506708,4,8
PI506712,4,8
PI506714,4,8
PI506719,1,8
PI506725,2,8
PI506736,5,8
PI506737,5,8
PI506739,2,8
PI506740,5,8
PI506741,5,8
PI506742,5,8
PI506743,5,8
PI506747,4,8
PI506748,2,8
PI506749,5,8
PI506750,5,8
PI506753,5,8
PI506754,4,8
PI506755,2,8
PI506761,5,8
PI506763,5,8
PI506764,2,8
PI506768,5,8
PI506772,3,8
PI506773,2,8
PI506774,3,8
PI506775,4,8
PI506776,3,8
PI506777,5,8
PI506778,1,8
PI506786,4,8
PI506792,3,8
PI506793,1,8
PI506795,5,8
PI506796,2,8
PI506798,5,8
PI506802,4,8
PI506810,2,8
PI506813,4,8
PI506817,2,8
PI506822,5,8
PI506828,4,8
PI506871,5,8
PI506877,3,8
PI506878,4,8
PI506879,2,8
PI506884,1,8
PI506885,4,8
PI506886,0,8
PI506888,5,8
PI506902,5,8
PI506904,2,8
PI506905,2,8
PI506907,5,8
PI506908,5,8
PI506910,4,8
PI506914,2,8
PI506921,5,8
PI506922,5,8
PI506926,2,8
PI506939,4,8
PI506946,5,8
PI506948,2,8
PI506949,5,8
PI506950,4,8
PI506952,5,8
PI506953,2,8
PI506955,5,8
PI506956,2,8
PI506957,4,8
PI506958,5,8
PI506959,5,8
PI506960,4,8
PI506962,5,8
PI506963,5,8
PI506964,4,8
PI506965,2,8
PI506966,1,8
PI506967,5,8
PI506968,5,8
PI506970,2,8
PI506971,5,8
PI506972,4,8
PI506974,5,8
PI506975,2,8
PI506976,4,8
PI506977,5,8
PI506978,5,8
PI506979,5,8
PI506980,2,8
PI506981,5,8
PI506984,5,8
PI506985,5,8
PI506990,1,8
PI506991,5,8
PI506996,4,8
PI507001,5,8
PI507002,2,8
PI507003,5,8
PI507005,4,8
PI507006,3,8
PI507007,6,8
PI507008,5,8
PI507009,2,8
PI507010,4,8
PI507011,5,8
PI507012,5,8
PI507024,2,8
PI507030,4,8
PI507036,5,8
PI507037,5,8
PI507039,5,8
PI507041,2,8
PI507042,2,8
PI507043,5,8
PI507044,5,8
PI507049,5,8
PI507050,5,8
PI507057,1,8
PI507059,5,8
PI507068,4,8
PI507069,4,8
PI507070,5,8
PI507074,5,8
PI507075,3,8
PI507078,5,8
PI507084,5,8
PI507085,4,8
PI507088,4,8
PI507099,4,8
PI507103,4,8
PI507105,5,8
PI507109,2,8
PI507111,3,8
PI507112,3,8
PI507113,5,8
PI507114,3,8
PI507116,5,8
PI507118,5,8
PI507119,5,8
PI507120,5,8
PI507122,4,8
PI507136,5,8
PI507137,1,8
PI507140,3,8
PI507142,4,8
PI507143,5,8
PI507156,3,8
PI507187,5,8
PI507192,4,8
PI507194,5,8
PI507202,5,8
PI507205,5,8
PI507206,3,8
PI507207,1,8
PI507208,5,8
PI507210,3,8
PI507211,2,8
PI507214,1,8
PI507215,4,8
PI507219,2,8
PI507220,4,8
PI507223,4,8
PI507224,3,8
PI507225,2,8
PI507228,4,8
PI507231,3,8
PI507236,5,8
PI507247,3,8
PI507249,3,8
PI507250,5,8
PI507251,4,8
PI507254,5,8
PI507257,5,8
PI507258,5,8
PI507259,4,8
PI507262,4,8
PI507264,5,8
PI507276,2,8
PI507278,4,8
PI507292,4,8
PI507298,5,8
PI507299,3,8
PI507300,3,8
PI507302,3,8
PI507310,3,8
PI507322,2,8
PI507326,5,8
PI507327,5,8
PI507335,4,8
PI507336,5,8
PI507337,2,8
PI507338,4,8
PI507340,4,8
PI507342,4,8
PI507343,5,8
PI507345,2,8
PI507346,4,8
PI507356,5,8
PI507357,2,8
PI507358,2,8
PI507359,3,8
PI507360,5,8
PI507371,5,8
PI507377,1,8
PI507380,5,8
PI507381,4,8
PI507394,5,8
PI507414,5,8
PI507421,2,8
PI507422,4,8
PI507423,5,8
PI507428,4,8
PI507444,2,8
PI507451,2,8
PI507452,4,8
PI507457,5,8
PI507459,4,8
PI507470,5,8
PI507476,4,8
PI507478,5,8
PI507479,4,8
PI507484,2,8
PI507488,4,8
PI507495,4,8
PI507496,4,8
PI507497,2,8
PI507499,2,8
PI507503,2,8
PI507504,0,8
PI507505,2,8
PI507506,2,8
PI507507,2,8
PI507508,5,8
PI507511,2,8
PI507512,2,8
PI507514,4,8
PI507533,3,8
PI507536,3,8
PI507538,2,8
PI507539,4,8
PI507546,2,8
PI507556,3,8
PI507557,4,8
PI507558,3,8
PI507562,2,8
PI507572,2,8
PI507577,2,8
PI507579,2,8
PI509077,2,8
PI509082,5,8
PI509084,3,8
PI509086,2,8
PI509090,5,8
PI509093,4,8
PI509094,2,8
PI509095,5,8
PI509100,3,8
PI509102,2,8
PI509104,3,8
PI509108,2,8
PI509113,5,8
PI518295,2,8
PI518296,5,8
PI518297,2,8
PI518721,5,8
PI518722,3,8
PI518726,5,8
PI518727,5,8
PI518756,3,8
PI520732,3,8
PI532461,5,8
PI548497,2,8
PI561383,2,8
PI567148,5,8
PI567180,2,8
PI567182,4,8
PI567183,4,8
PI567184,5,8
PI567185,5,8
PI567186,5,8
PI567188,2,8
PI567190,3,8
PI567191,5,8
PI567271,5,8
