acid,PRR1.488001,
PI408054,1,8
PI408056,1,8
PI408059,1,8
PI408060,5,8
PI408061,1,8
PI408063,1,8
PI408077,1,8
PI408078,1,8
PI408080,1,8
PI408081,5,8
PI408082,1,8
PI408085,1,8
PI408086,5,8
PI408087,1,8
PI408088,5,8
PI408091,1,8
PI408093,1,8
PI408096,1,8
PI408098,5,8
PI408099,5,8
PI408101,5,8
PI408102,5,8
PI408104,1,8
PI408106,5,8
PI408107,1,8
PI408112,5,8
PI408113,1,8
PI408115,5,8
PI408117,5,8
PI408118,5,8
PI408120,5,8
PI408121,5,8
PI408122,5,8
PI408123,1,8
PI408127,5,8
PI408129,5,8
PI408139,1,8
PI408141,5,8
PI408142,1,8
PI408143,1,8
PI408144,5,8
PI408145,1,8
PI408146,1,8
PI408147,1,8
PI408148,1,8
PI408149,1,8
PI408150,1,8
PI408151,5,8
PI408152,1,8
PI408153,5,8
PI408154,1,8
PI408155,5,8
PI408156,5,8
PI408157,5,8
PI408158,1,8
PI408159,5,8
PI408160,1,8
PI408161,5,8
PI408162,5,8
PI408163,1,8
PI408164,5,8
PI408165,1,8
PI408168,1,8
PI408176,5,8
PI408177,5,8
PI408182,5,8
PI408183,5,8
PI408185,5,8
PI408188,1,8
PI408190,5,8
PI408195,1,8
PI408202,5,8
PI408204,5,8
PI408205,5,8
PI408208,5,8
PI408213,5,8
PI408218,5,8
PI408219,1,8
PI408220,5,8
PI408223,5,8
PI408239,1,8
PI408240,1,8
PI408241,1,8
PI408242,1,8
PI408243,1,8
PI408244,5,8
PI408247,5,8
PI408250,5,8
PI408251,5,8
PI408252,1,8
PI408253,1,8
PI408254,1,8
PI408257,5,8
PI408266,1,8
PI408267,5,8
PI408268,1,8
PI408274,5,8
PI408276,1,8
PI408278,1,8
PI408279,1,8
PI408282,5,8
PI408283,5,8
PI408286,5,8
PI408303,1,8
PI408304,5,8
PI408305,5,8
PI408313,5,8
PI408317,1,8
PI408322,5,8
PI408323,1,8
PI408324,1,8
PI408325,5,8
PI408326,5,8
PI408328,5,8
PI408330,5,8
PI408331,1,8
PI408336,5,8
PI408337,5,8
PI408339,5,8
PI408340,1,8
PI408342,1,8
PI408343,5,8
PI408344,5,8
PI408345,5,8
PI416754,5,8
PI416758,1,8
PI416759,5,8
PI416760,5,8
PI416764,5,8
PI416765,5,8
PI416766,1,8
PI416767,5,8
PI416768,1,8
PI416770,1,8
PI416771,5,8
PI416775,1,8
PI416778,1,8
PI416781,1,8
PI416783,5,8
PI416785,5,8
PI416787,1,8
PI416788,5,8
PI416790,5,8
PI416792,5,8
PI416793,5,8
PI416794,5,8
PI416795,1,8
PI416796,1,8
PI416797,1,8
PI416798,1,8
PI416799,5,8
PI416800,5,8
PI416803,5,8
PI416804,1,8
PI416806,1,8
PI416807,1,8
PI416808,5,8
PI416809,1,8
PI416810,5,8
PI416811,5,8
PI416812,5,8
PI416813,1,8
PI416814,1,8
PI416815,1,8
PI416820,1,8
PI416821,5,8
PI416824,1,8
PI416827,1,8
PI416828,1,8
PI416838,1,8
PI416843,1,8
PI416844,1,8
PI416847,5,8
PI416848,5,8
PI416849,1,8
PI416850,5,8
PI416851,1,8
PI416860,1,8
PI416861,5,8
PI416867,5,8
PI416871,1,8
PI416876,1,8
PI416877,1,8
PI416881,1,8
PI416883,1,8
PI416885,5,8
PI416886,5,8
PI416893,1,8
PI416895,1,8
PI416899,1,8
PI416900,1,8
PI416901,1,8
PI416903,5,8
PI416907,1,8
PI416908,1,8
PI416909,1,8
PI416912,1,8
PI416922,5,8
PI416924,1,8
PI416925,1,8
PI416927,5,8
PI416928,5,8
PI416931,1,8
PI416932,5,8
PI416933,5,8
PI416935,1,8
PI416937,1,8
PI416938,1,8
PI416944,1,8
PI416947,1,8
PI416948,1,8
PI416949,1,8
PI416951,1,8
PI416955,5,8
PI416957,1,8
PI416960,5,8
PI416962,5,8
PI416969,1,8
PI416973,1,8
PI416977,1,8
PI416979,1,8
PI416980,1,8
PI416981,5,8
PI416982,5,8
PI416999,5,8
PI417000,1,8
PI417008,1,8
PI417009,1,8
PI417011,5,8
PI417013,5,8
PI417016,1,8
PI417025,5,8
PI417026,5,8
PI417031,5,8
PI417034,5,8
PI417036,5,8
PI417037,1,8
PI417038,5,8
PI417039,1,8
PI417041,5,8
PI417047,1,8
PI417048,1,8
PI417052,1,8
PI417053,1,8
PI417055,1,8
PI417058,1,8
PI417061,5,8
PI417063,1,8
PI417068,1,8
PI417069,1,8
PI417073,1,8
PI417074,1,8
PI417081,5,8
PI417083,5,8
PI417085,1,8
PI417088,5,8
PI417090,5,8
PI417093,5,8
PI417097,5,8
PI417098,1,8
PI417099,1,8
PI417103,1,8
PI417104,1,8
PI417105,1,8
PI417106,1,8
PI417108,1,8
PI417109,1,8
PI417110,1,8
PI417111,1,8
PI417112,5,8
PI417113,1,8
PI417114,1,8
PI417115,1,8
PI417116,5,8
PI417117,1,8
PI417118,1,8
PI417119,5,8
PI417120,1,8
PI417122,1,8
PI417123,1,8
PI417124,1,8
PI417125,1,8
PI417126,5,8
PI417127,1,8
PI417128,1,8
PI417130,1,8
PI417131,5,8
PI417132,1,8
PI417133,1,8
PI417134,5,8
PI417136,5,8
PI417141,1,8
PI417146,1,8
PI417149,1,8
PI417153,1,8
PI417156,5,8
PI417157,1,8
PI417158,1,8
PI417159,1,8
PI417164,1,8
PI417165,1,8
PI417166,1,8
PI417169,5,8
PI417172,1,8
PI417181,1,8
PI417188,5,8
PI417190,1,8
PI417193,5,8
PI417194,1,8
PI417197,1,8
PI417203,5,8
PI417204,1,8
PI417205,1,8
PI417206,1,8
PI417208,1,8
PI417209,1,8
PI417211,1,8
PI417212,1,8
PI417215,1,8
PI417216,1,8
PI417220,1,8
PI417221,1,8
PI417222,1,8
PI417223,1,8
PI417224,1,8
PI417235,1,8
PI417236,1,8
PI417237,5,8
PI417240,1,8
PI417247,5,8
PI417250,5,8
PI417251,1,8
PI417252,1,8
PI417253,1,8
PI417256,1,8
PI417258,1,8
PI417259,1,8
PI417261,1,8
PI417262,5,8
PI417263,5,8
PI417264,1,8
PI417265,5,8
PI417266,5,8
PI417267,5,8
PI417270,1,8
PI417271,1,8
PI417272,1,8
PI417273,1,8
PI417275,5,8
PI417277,1,8
PI417280,1,8
PI417281,1,8
PI417284,1,8
PI417288,1,8
PI417289,5,8
PI417290,1,8
PI417306,1,8
PI417307,1,8
PI417308,1,8
PI417310,1,8
PI417311,1,8
PI417313,1,8
PI417314,1,8
PI417316,1,8
PI417317,5,8
PI417318,1,8
PI417319,1,8
PI417320,5,8
PI417322,5,8
PI417329,1,8
PI417330,1,8
PI417331,5,8
PI417332,1,8
PI417335,1,8
PI417337,1,8
PI417341,5,8
PI417342,1,8
PI417346,5,8
PI417347,5,8
PI417348,1,8
PI417350,5,8
PI417351,1,8
PI417352,1,8
PI417356,1,8
PI417357,5,8
PI417358,5,8
PI417359,1,8
PI417360,5,8
PI417363,5,8
PI417366,5,8
PI417369,1,8
PI417370,1,8
PI417372,1,8
PI417373,1,8
PI417374,1,8
PI417375,1,8
PI417376,5,8
PI417377,1,8
PI417378,1,8
PI417379,5,8
PI417383,1,8
PI417385,1,8
PI417386,1,8
PI417387,1,8
PI417388,1,8
PI417390,1,8
PI417392,5,8
PI417394,5,8
PI417395,1,8
PI417396,1,8
PI417399,5,8
PI417402,1,8
PI417403,5,8
PI417404,1,8
PI417405,5,8
PI417406,1,8
PI417407,1,8
PI417408,5,8
PI417409,1,8
PI417410,5,8
PI417411,5,8
PI417415,1,8
PI417416,1,8
PI417418,1,8
PI417419,1,8
PI417420,1,8
PI417421,1,8
PI417422,5,8
PI417423,1,8
PI417426,1,8
PI417427,5,8
PI417428,1,8
PI417430,5,8
PI417439,5,8
PI417440,1,8
PI417441,1,8
PI417442,5,8
PI417443,1,8
PI417444,1,8
PI417445,1,8
PI417462,1,8
PI417463,1,8
PI417464,1,8
PI417465,1,8
PI417466,1,8
PI417467,1,8
PI417469,5,8
PI417470,5,8
PI417473,1,8
PI417474,1,8
PI417475,1,8
PI417477,1,8
PI417481,1,8
PI417483,5,8
PI417484,1,8
PI417486,5,8
PI417489,1,8
PI417490,1,8
PI417491,5,8
PI417492,5,8
PI417493,1,8
PI417494,1,8
PI417496,5,8
PI417497,5,8
PI417498,1,8
PI417499,5,8
PI417500,5,8
PI417501,1,8
PI417502,1,8
PI417503,1,8
PI417504,5,8
PI417505,1,8
PI417561,5,8
PI417562,5,8
PI417563,5,8
PI417566,1,8
PI417567,1,8
PI417569,1,8
PI417581,5,8
PI417582,5,8
PI423720,5,8
PI423722,1,8
PI423723,1,8
PI423724,1,8
PI423726,1,8
PI423727,1,8
PI423732,1,8
PI423738,5,8
PI423742,1,8
PI423745,5,8
PI423751,5,8
PI423754,5,8
PI423755,5,8
PI423758,5,8
PI423759,1,8
PI423760,5,8
PI423761,5,8
PI423762,5,8
PI423764,1,8
PI423767,5,8
PI423772,5,8
PI423773,5,8
PI423774,5,8
PI423775,1,8
PI423780,1,8
PI423782,1,8
PI423785,1,8
PI423786,1,8
PI423801,5,8
PI423804,5,8
PI423805,1,8
PI423806,5,8
PI423807,5,8
PI423810,5,8
PI423817,1,8
PI423820,1,8
PI423821,5,8
PI423822,1,8
PI423823,5,8
PI423824,1,8
PI423828,5,8
PI423831,1,8
PI423832,5,8
PI423834,5,8
PI423840,5,8
PI423844,5,8
PI423847,5,8
PI423849,1,8
PI423852,5,8
PI423853,1,8
PI423854,5,8
PI423855,5,8
PI423856,5,8
PI423857,1,8
PI423859,1,8
PI423860,1,8
PI423861,1,8
PI423862,5,8
PI423873,5,8
PI423874,1,8
PI423875,5,8
PI423876,5,8
PI423878,1,8
PI423879,1,8
PI423886,5,8
PI423895,5,8
PI423898,5,8
PI423900,5,8
PI423904,1,8
PI423905,1,8
PI423906,1,8
PI423907,5,8
PI423908,1,8
PI423911,1,8
PI423912,5,8
PI423913,1,8
PI423915,1,8
PI423917,1,8
PI423918,1,8
PI423919,5,8
PI423920,1,8
PI423921,5,8
PI423922,1,8
PI423923,1,8
PI423924,5,8
PI423925,1,8
PI423928,5,8
PI423931,1,8
PI423957,5,8
PI423958,1,8
PI423959,1,8
PI423962,1,8
PI423963,1,8
PI423964,1,8
PI423965,1,8
PI423966,5,8
PI423968,1,8
PI423969,1,8
PI423970,1,8
PI423978,1,8
PI423981,1,8
PI423982,1,8
PI423984,1,8
PI423985,1,8
PI423986,1,8
PI424131,1,8
PI424136,5,8
PI424138,5,8
PI424139,1,8
PI424142,1,8
PI424144,1,8
PI424145,1,8
PI424146,5,8
PI424147,5,8
PI424161,5,8
PI424163,1,8
PI424166,5,8
PI424170,5,8
PI424174,5,8
PI424176,1,8
PI424183,5,8
PI424185,5,8
PI424186,5,8
PI424187,5,8
PI424212,5,8
PI424213,1,8
PI424218,5,8
PI424240,1,8
PI424248,5,8
PI424290,5,8
PI424304,5,8
PI424325,1,8
PI424331,1,8
PI424333,1,8
PI424334,5,8
PI424341,5,8
PI424360,1,8
PI424361,5,8
PI424362,5,8
PI424363,1,8
PI424365,5,8
PI424371,5,8
PI424375,1,8
PI424376,1,8
PI424378,5,8
PI424390,1,8
PI424391,1,8
PI424392,5,8
PI424393,1,8
PI424394,1,8
PI424398,5,8
PI424404,1,8
PI424415,5,8
PI424416,5,8
PI424417,1,8
PI424418,5,8
PI424433,5,8
PI424434,1,8
PI424437,5,8
PI424438,1,8
PI424439,5,8
PI424440,5,8
PI424441,5,8
PI424442,1,8
PI424445,1,8
PI424446,1,8
PI424447,5,8
PI424448,5,8
PI424451,5,8
PI424453,5,8
PI424455,5,8
PI424456,5,8
PI424457,1,8
PI424461,5,8
PI424464,5,8
PI424473,1,8
PI424475,1,8
PI424478,5,8
PI424480,1,8
PI424482,5,8
PI424496,1,8
PI424501,1,8
PI424502,1,8
PI424507,5,8
PI424508,1,8
PI424510,1,8
PI424514,1,8
PI424515,1,8
PI424526,1,8
PI424534,5,8
PI424551,5,8
PI424553,1,8
PI424560,1,8
PI424562,5,8
PI424576,5,8
PI424577,1,8
PI424578,1,8
PI424585,5,8
PI424586,5,8
PI424589,5,8
PI424591,1,8
PI424593,5,8
PI424594,5,8
PI424595,1,8
PI424598,5,8
PI424601,1,8
PI424602,5,8
PI424603,1,8
PI424606,5,8
PI424616,1,8
PI427241,5,8
PI427276,5,8
PI428691,1,8
PI429327,1,8
PI429328,1,8
PI429329,1,8
PI429330,1,8
PI430626,5,8
PI434974,1,8
PI434976,1,8
PI434981,1,8
PI434982,1,8
PI436563,5,8
PI436565,1,8
PI436566,5,8
PI436567,1,8
PI436568,5,8
PI437562,1,8
PI437591,5,8
PI437667,5,8
PI437668,5,8
PI437670,1,8
PI437671,5,8
PI437696,5,8
PI437708,5,8
PI437717,5,8
PI437719,5,8
PI437726,5,8
PI437730,5,8
PI437734,5,8
PI437813,1,8
PI438278,1,8
PI438280,1,8
PI438284,5,8
PI438293,5,8
PI438294,5,8
PI438297,5,8
PI438306,5,8
PI438342,5,8
PI438343,5,8
PI438344,5,8
PI438347,5,8
PI438425,5,8
PI438426,5,8
PI438428,5,8
PI438430,5,8
PI438431,5,8
PI438432,5,8
PI438438,5,8
PI438439,1,8
PI441352,5,8
PI441353,1,8
PI441355,1,8
PI441358,5,8
PI441359,5,8
PI441377,1,8
PI441378,5,8
PI441380,1,8
PI441381,5,8
PI442014,1,8
PI442017,5,8
PI442020,5,8
PI445681,5,8
PI445683,5,8
PI445842,5,8
PI445843,5,8
PI445849,5,8
PI458025,1,8
PI458027,1,8
PI458028,5,8
PI458032,1,8
PI458033,5,8
PI458044,5,8
PI458048,5,8
PI458054,5,8
PI458058,5,8
PI458059,5,8
PI458068,5,8
PI458069,1,8
PI458073,5,8
PI458076,5,8
PI458081,1,8
PI458083,1,8
PI458091,5,8
PI458092,1,8
PI458093,5,8
PI458094,1,8
PI458096,1,8
PI458097,1,8
PI458099,1,8
PI458100,1,8
PI458102,1,8
PI458107,1,8
PI458108,1,8
PI458122,5,8
PI458124,1,8
PI458126,1,8
PI458127,1,8
PI458128,1,8
PI458130,5,8
PI458143,5,8
PI458146,5,8
PI458153,1,8
PI458154,5,8
PI458155,1,8
PI458159,1,8
PI458161,1,8
PI458162,5,8
PI458164,5,8
PI458167,1,8
PI458168,5,8
PI458170,1,8
PI458173,5,8
PI458174,1,8
PI458180,5,8
PI458182,5,8
PI458183,5,8
PI458185,5,8
PI458186,1,8
PI458187,5,8
PI458192,5,8
PI458193,5,8
PI458196,1,8
PI458198,1,8
PI458200,1,8
PI458206,1,8
PI458210,1,8
PI458211,1,8
PI458212,5,8
PI458213,1,8
PI458214,1,8
PI458215,1,8
PI458218,1,8
PI458219,1,8
PI458220,1,8
PI458223,5,8
PI458225,1,8
PI458228,1,8
PI458238,5,8
PI458239,1,8
PI458240,5,8
PI458241,1,8
PI458242,1,8
PI458243,1,8
PI458245,1,8
PI458250,5,8
PI458251,1,8
PI458253,1,8
PI458256,1,8
PI458257,1,8
PI458258,1,8
PI458260,1,8
PI458261,1,8
PI458263,5,8
PI458264,1,8
PI458265,1,8
PI458267,1,8
PI458268,5,8
PI458270,1,8
PI458271,1,8
PI458272,5,8
PI458273,5,8
PI458274,1,8
PI458275,5,8
PI458279,1,8
PI458283,1,8
PI458284,5,8
PI458285,1,8
PI458289,1,8
PI458291,1,8
PI458292,1,8
PI458293,1,8
PI458297,1,8
PI458300,5,8
PI458305,5,8
PI459072,1,8
PI462312,1,8
PI464932,1,8
PI464933,1,8
PI468130,5,8
PI468131,5,8
PI468964,5,8
PI468965,5,8
PI468966,5,8
PI468967,5,8
PI468969,5,8
PI468970,5,8
PI468971,5,8
PI468972,5,8
PI468973,5,8
PI471901,1,8
PI471903,1,8
PI471925,5,8
PI471926,5,8
PI471927,5,8
PI471928,5,8
PI471930,5,8
PI471931,5,8
PI471932,5,8
PI471933,5,8
PI471934,5,8
PI471935,5,8
PI471936,5,8
PI471938,5,8
PI471940,5,8
PI471941,5,8
PI471942,5,8
PI476878,1,8
PI476879,5,8
PI476882,1,8
PI476883,5,8
PI476884,1,8
PI476885,5,8
PI476888,5,8
PI476889,5,8
PI476890,5,8
PI476891,5,8
PI476892,5,8
PI476894,5,8
PI476895,5,8
PI476896,5,8
PI476897,5,8
PI476898,5,8
PI476900,5,8
PI476901,5,8
PI476904,5,8
PI476907,5,8
PI476908,5,8
PI476910,5,8
PI476912,5,8
PI476913,5,8
PI476915,5,8
PI476916,5,8
PI476917,5,8
PI476918,5,8
PI476919,5,8
PI476920,5,8
PI476921,5,8
PI476923,5,8
PI476924,5,8
PI476925,5,8
PI476926,5,8
PI476927,5,8
PI476928,5,8
PI476929,5,8
PI476930,5,8
PI476931,5,8
PI476932,5,8
PI476933,5,8
PI476934,5,8
PI476943,5,8
PI481679,5,8
PI481683,5,8
PI481686,5,8
PI481690,5,8
PI481691,5,8
PI482602,5,8
PI483083,5,8
PI486328,5,8
PI486329,5,8
PI486330,5,8
PI486332,5,8
PI486335,5,8
PI494181,5,8
PI494752,5,8
PI494851,1,8
PI495019,5,8
PI497952,5,8
PI497957,5,8
PI497958,5,8
PI497960,1,8
PI497961,5,8
PI497962,1,8
PI497965,5,8
PI497966,5,8
PI497967,5,8
PI497968,5,8
PI497969,5,8
PI499955,5,8
PI500648,5,8
PI504495,5,8
PI504507,5,8
PI504510,5,8
PI506471,1,8
PI506472,1,8
PI506473,1,8
PI506474,1,8
PI506475,5,8
PI506483,5,8
PI506484,5,8
PI506485,1,8
PI506486,1,8
PI506487,1,8
PI506488,5,8
PI506489,1,8
PI506490,5,8
PI506491,5,8
PI506492,1,8
PI506493,1,8
PI506494,5,8
PI506495,1,8
PI506496,5,8
PI506497,5,8
PI506499,5,8
PI506500,5,8
PI506501,1,8
PI506502,1,8
PI506503,1,8
PI506504,1,8
PI506505,1,8
PI506506,1,8
PI506507,1,8
PI506508,1,8
PI506509,1,8
PI506510,1,8
PI506512,5,8
PI506513,1,8
PI506517,1,8
PI506518,5,8
PI506522,1,8
PI506530,1,8
PI506531,1,8
PI506532,5,8
PI506533,1,8
PI506534,5,8
PI506535,1,8
PI506536,1,8
PI506537,5,8
PI506538,5,8
PI506539,1,8
PI506540,1,8
PI506541,5,8
PI506542,5,8
PI506543,1,8
PI506544,5,8
PI506545,1,8
PI506546,1,8
PI506547,5,8
PI506548,1,8
PI506549,5,8
PI506551,1,8
PI506552,5,8
PI506553,5,8
PI506554,5,8
PI506555,1,8
PI506556,1,8
PI506557,1,8
PI506558,5,8
PI506559,1,8
PI506561,5,8
PI506564,5,8
PI506565,1,8
PI506566,1,8
PI506567,1,8
PI506568,5,8
PI506569,5,8
PI506570,5,8
PI506571,5,8
PI506577,1,8
PI506578,1,8
PI506579,1,8
PI506580,1,8
PI506582,1,8
PI506583,1,8
PI506584,5,8
PI506586,1,8
PI506589,1,8
PI506593,1,8
PI506594,5,8
PI506597,5,8
PI506598,5,8
PI506599,1,8
PI506600,5,8
PI506603,5,8
PI506604,5,8
PI506605,1,8
PI506606,5,8
PI506607,1,8
PI506608,1,8
PI506611,5,8
PI506612,1,8
PI506613,5,8
PI506614,5,8
PI506615,5,8
PI506616,5,8
PI506617,5,8
PI506618,5,8
PI506619,5,8
PI506620,5,8
PI506621,5,8
PI506622,5,8
PI506623,1,8
PI506624,5,8
PI506625,1,8
PI506626,1,8
PI506627,5,8
PI506628,1,8
PI506629,5,8
PI506630,1,8
PI506632,5,8
PI506633,1,8
PI506636,5,8
PI506638,1,8
PI506639,1,8
PI506640,5,8
PI506643,1,8
PI506644,1,8
PI506645,1,8
PI506646,1,8
PI506647,1,8
PI506648,5,8
PI506649,5,8
PI506650,5,8
PI506651,5,8
PI506653,1,8
PI506656,5,8
PI506660,5,8
PI506664,5,8
PI506665,5,8
PI506666,5,8
PI506667,5,8
PI506668,1,8
PI506670,5,8
PI506675,1,8
PI506676,5,8
PI506677,1,8
PI506679,1,8
PI506680,1,8
PI506682,5,8
PI506686,5,8
PI506687,5,8
PI506688,5,8
PI506689,1,8
PI506690,5,8
PI506691,5,8
PI506694,1,8
PI506695,1,8
PI506696,5,8
PI506702,1,8
PI506704,5,8
PI506706,5,8
PI506707,1,8
PI506708,5,8
PI506712,1,8
PI506713,1,8
PI506714,5,8
PI506717,1,8
PI506718,1,8
PI506719,1,8
PI506725,5,8
PI506729,5,8
PI506730,5,8
PI506736,5,8
PI506737,1,8
PI506738,1,8
PI506739,1,8
PI506740,5,8
PI506741,5,8
PI506742,1,8
PI506743,5,8
PI506744,5,8
PI506745,5,8
PI506746,5,8
PI506747,1,8
PI506748,1,8
PI506749,5,8
PI506750,5,8
PI506751,1,8
PI506752,5,8
PI506753,1,8
PI506754,5,8
PI506755,5,8
PI506756,5,8
PI506757,5,8
PI506761,1,8
PI506763,5,8
PI506767,1,8
PI506768,1,8
PI506772,5,8
PI506773,5,8
PI506774,1,8
PI506775,5,8
PI506776,1,8
PI506777,5,8
PI506778,5,8
PI506780,5,8
PI506781,5,8
PI506783,1,8
PI506786,1,8
PI506791,5,8
PI506792,1,8
PI506793,1,8
PI506794,5,8
PI506795,5,8
PI506796,5,8
PI506797,5,8
PI506798,1,8
PI506802,5,8
PI506804,1,8
PI506805,1,8
PI506806,5,8
PI506807,5,8
PI506810,1,8
PI506811,1,8
PI506812,1,8
PI506813,1,8
PI506817,1,8
PI506822,5,8
PI506826,1,8
PI506827,5,8
PI506828,1,8
PI506829,1,8
PI506830,1,8
PI506831,1,8
PI506834,1,8
PI506835,1,8
PI506844,5,8
PI506845,1,8
PI506846,1,8
PI506851,5,8
PI506854,1,8
PI506856,1,8
PI506871,1,8
PI506875,1,8
PI506877,1,8
PI506878,5,8
PI506879,1,8
PI506880,1,8
PI506884,1,8
PI506885,1,8
PI506886,5,8
PI506888,5,8
PI506889,1,8
PI506890,1,8
PI506891,5,8
PI506893,5,8
PI506902,1,8
PI506904,5,8
PI506905,1,8
PI506907,5,8
PI506908,1,8
PI506910,1,8
PI506914,1,8
PI506915,5,8
PI506919,1,8
PI506921,1,8
PI506922,1,8
PI506923,5,8
PI506924,1,8
PI506926,1,8
PI506934,1,8
PI506936,1,8
PI506938,1,8
PI506939,1,8
PI506940,5,8
PI506941,5,8
PI506944,5,8
PI506946,5,8
PI506947,5,8
PI506948,1,8
PI506949,5,8
PI506950,5,8
PI506952,1,8
PI506953,1,8
PI506955,1,8
PI506956,1,8
PI506957,1,8
PI506958,1,8
PI506959,1,8
PI506960,5,8
PI506961,1,8
PI506962,5,8
PI506963,1,8
PI506964,1,8
PI506965,1,8
PI506966,1,8
PI506967,1,8
PI506968,1,8
PI506969,1,8
PI506970,1,8
PI506971,1,8
PI506972,1,8
PI506974,1,8
PI506975,1,8
PI506976,1,8
PI506977,1,8
PI506978,1,8
PI506979,1,8
PI506980,1,8
PI506981,1,8
PI506983,1,8
PI506984,1,8
PI506985,5,8
PI506986,5,8
PI506988,5,8
PI506990,1,8
PI506991,1,8
PI506996,1,8
PI506997,1,8
PI506999,1,8
PI507000,5,8
PI507001,5,8
PI507002,5,8
PI507003,1,8
PI507004,5,8
PI507005,1,8
PI507006,1,8
PI507007,1,8
PI507008,1,8
PI507009,1,8
PI507010,1,8
PI507011,1,8
PI507012,5,8
PI507013,1,8
PI507014,5,8
PI507018,1,8
PI507020,1,8
PI507023,5,8
PI507024,5,8
PI507030,1,8
PI507031,1,8
PI507032,1,8
PI507033,5,8
PI507034,5,8
PI507035,1,8
PI507036,5,8
PI507037,5,8
PI507039,5,8
PI507040,5,8
PI507041,5,8
PI507042,5,8
PI507043,1,8
PI507044,5,8
PI507045,5,8
PI507046,5,8
PI507048,1,8
PI507049,1,8
PI507050,1,8
PI507052,1,8
PI507055,5,8
PI507056,1,8
PI507057,5,8
PI507058,1,8
PI507059,1,8
PI507068,1,8
PI507069,5,8
PI507070,5,8
PI507074,1,8
PI507075,5,8
PI507076,1,8
PI507077,1,8
PI507078,5,8
PI507079,1,8
PI507081,1,8
PI507084,1,8
PI507085,1,8
PI507087,1,8
PI507088,1,8
PI507096,1,8
PI507098,1,8
PI507099,1,8
PI507102,1,8
PI507103,5,8
PI507105,5,8
PI507109,1,8
PI507110,5,8
PI507111,5,8
PI507112,1,8
PI507113,5,8
PI507114,1,8
PI507115,5,8
PI507116,1,8
PI507118,5,8
PI507119,5,8
PI507120,1,8
PI507121,1,8
PI507122,1,8
PI507124,1,8
PI507126,1,8
PI507127,1,8
PI507128,1,8
PI507135,5,8
PI507136,1,8
PI507137,5,8
PI507138,1,8
PI507139,1,8
PI507140,1,8
PI507142,1,8
PI507143,5,8
PI507144,5,8
PI507146,1,8
PI507154,1,8
PI507156,1,8
PI507157,5,8
PI507159,1,8
PI507161,5,8
PI507170,5,8
PI507177,1,8
PI507183,1,8
PI507185,5,8
PI507186,1,8
PI507187,5,8
PI507192,1,8
PI507193,1,8
PI507194,1,8
PI507202,1,8
PI507203,1,8
PI507205,1,8
PI507206,1,8
PI507207,5,8
PI507208,1,8
PI507209,1,8
PI507210,1,8
PI507211,1,8
PI507212,1,8
PI507214,5,8
PI507215,1,8
PI507217,5,8
PI507218,5,8
PI507219,5,8
PI507220,5,8
PI507223,1,8
PI507224,1,8
PI507225,5,8
PI507227,1,8
PI507228,1,8
PI507230,1,8
PI507231,1,8
PI507233,1,8
PI507234,1,8
PI507235,1,8
PI507236,1,8
PI507242,1,8
PI507243,5,8
PI507246,1,8
PI507247,1,8
PI507249,5,8
PI507250,5,8
PI507251,5,8
PI507252,1,8
PI507254,1,8
PI507256,1,8
PI507257,5,8
PI507258,1,8
PI507259,1,8
PI507260,1,8
PI507261,5,8
PI507262,1,8
PI507263,1,8
PI507264,5,8
PI507266,1,8
PI507269,5,8
PI507270,1,8
PI507275,1,8
PI507276,1,8
PI507278,1,8
PI507283,5,8
PI507284,5,8
PI507287,1,8
PI507288,1,8
PI507290,1,8
PI507292,5,8
PI507298,5,8
PI507299,1,8
PI507300,5,8
PI507301,5,8
PI507302,1,8
PI507304,1,8
PI507305,5,8
PI507306,5,8
PI507307,1,8
PI507308,1,8
PI507310,5,8
PI507314,1,8
PI507321,1,8
PI507322,5,8
PI507324,1,8
PI507326,5,8
PI507327,5,8
PI507329,5,8
PI507330,1,8
PI507331,5,8
PI507333,5,8
PI507335,1,8
PI507336,5,8
PI507337,1,8
PI507338,1,8
PI507340,5,8
PI507342,1,8
PI507343,1,8
PI507345,5,8
PI507346,1,8
PI507356,5,8
PI507357,1,8
PI507358,1,8
PI507359,1,8
PI507360,5,8
PI507361,1,8
PI507371,5,8
PI507372,5,8
PI507374,5,8
PI507375,1,8
PI507376,1,8
PI507377,5,8
PI507378,1,8
PI507380,1,8
PI507381,5,8
PI507388,1,8
PI507389,1,8
PI507391,5,8
PI507393,5,8
PI507394,1,8
PI507397,1,8
PI507399,5,8
PI507401,1,8
PI507402,1,8
PI507403,1,8
PI507409,5,8
PI507410,5,8
PI507414,5,8
PI507416,5,8
PI507417,1,8
PI507420,1,8
PI507421,5,8
PI507422,5,8
PI507423,5,8
PI507426,1,8
PI507427,1,8
PI507428,5,8
PI507433,5,8
PI507437,5,8
PI507438,1,8
PI507444,1,8
PI507450,5,8
PI507451,1,8
PI507452,5,8
PI507453,1,8
PI507454,1,8
PI507457,1,8
PI507459,1,8
PI507462,5,8
PI507463,5,8
PI507469,1,8
PI507470,5,8
PI507475,5,8
PI507476,5,8
PI507477,5,8
PI507478,5,8
PI507479,1,8
PI507482,5,8
PI507484,1,8
PI507485,1,8
PI507486,1,8
PI507488,1,8
PI507489,1,8
PI507490,1,8
PI507495,1,8
PI507496,1,8
PI507497,1,8
PI507498,1,8
PI507499,1,8
PI507503,5,8
PI507504,1,8
PI507505,5,8
