acid,Fe32perc,
PI506538,0.005,8
PI506539,0.013,8
PI506540,0.088,8
PI506542,0.022,8
PI506543,0.018,8
PI506544,0.019,8
PI506545,0.009,8
PI506546,0.025,8
PI506547,0.125,8
PI506548,0.039,8
PI506551,0.101,8
PI506554,0.103,8
PI506555,0.113,8
PI506556,0.009,8
PI506557,0.1,8
PI506559,0.087,8
PI506561,0.016,8
PI506564,0.092,8
PI506566,0.12,8
PI506567,0.103,8
PI506568,0.106,8
PI506569,0.089,8
PI506570,0.011,8
PI506571,0.087,8
PI506577,0.098,8
PI506578,0.095,8
PI506580,0.067,8
PI506584,0.106,8
PI506589,0.016,8
PI506593,0.099,8
PI506599,0.017,8
PI506603,0.094,8
PI506604,0.082,8
PI506606,0.085,8
PI506608,0.094,8
PI506611,0.091,8
PI506612,0.011,8
PI506613,0.008,8
PI506614,0,8
PI506615,0.077,8
PI506616,0.015,8
PI506617,0.118,8
PI506618,0.004,8
PI506619,0.077,8
PI506620,0.1,8
PI506621,0.024,8
PI506622,0.089,8
PI506624,0.018,8
PI506625,0.004,8
PI506626,0.021,8
PI506627,0.018,8
PI506628,0.097,8
PI506629,0.09,8
PI506636,0.082,8
PI506638,0.106,8
PI506640,0.014,8
PI506643,0.07,8
PI506644,0.086,8
PI506646,0.111,8
PI506648,0.141,8
PI506649,0.072,8
PI506650,0.088,8
PI506653,0.096,8
PI506656,0.108,8
PI506664,0.083,8
PI506667,0.099,8
PI506670,0.012,8
PI506675,0.099,8
PI506676,0.031,8
PI506682,0.107,8
PI506687,0.012,8
PI506688,0.121,8
PI506689,0.074,8
PI506690,0.011,8
PI506691,0.092,8
PI506695,0.089,8
PI506702,0.083,8
PI506704,0.084,8
PI506706,0.007,8
PI506708,0.076,8
PI506712,0.089,8
PI506714,0.087,8
PI506719,0.005,8
PI506725,0.022,8
PI506736,0.113,8
PI506737,0.103,8
PI506739,0.016,8
PI506740,0.106,8
PI506741,0.126,8
PI506742,0.121,8
PI506743,0.102,8
PI506747,0.081,8
PI506748,0.014,8
PI506749,0.114,8
PI506750,0.112,8
PI506753,0.129,8
PI506754,0.085,8
PI506755,0.017,8
PI506761,0.102,8
PI506763,0.112,8
PI506764,0.018,8
PI506768,0.109,8
PI506772,0.038,8
PI506773,0.021,8
PI506774,0.026,8
PI506775,0.089,8
PI506776,0.026,8
PI506777,0.14,8
PI506778,0.004,8
PI506786,0.098,8
PI506792,0.027,8
PI506793,0.006,8
PI506795,0.111,8
PI506796,0.015,8
PI506798,0.109,8
PI506802,0.097,8
PI506810,0.018,8
PI506813,0.086,8
PI506817,0.018,8
PI506822,0.103,8
PI506828,0.059,8
PI506871,0.123,8
PI506877,0.029,8
